Zipcode,City,State,Available,ZipType
91101,PASADENA,CA,Available,STANDARD
91102,PASADENA,CA,Available,STANDARD
91103,PASADENA,CA,Available,STANDARD
91104,PASADENA,CA,Available,STANDARD
91105,PASADENA,CA,Available,STANDARD
91106,PASADENA,CA,Available,STANDARD
91107,PASADENA,CA,Available,STANDARD
91108,SAN MARINO,CA,Available,STANDARD
91109,PASADENA,CA,Available,STANDARD
91110,PASADENA,CA,Available,UNIQUE
91114,PASADENA,CA,Available,STANDARD
91115,PASADENA,CA,Available,STANDARD
91116,PASADENA,CA,Available,STANDARD
91117,PASADENA,CA,Available,STANDARD
91118,SAN MARINO,CA,Available,STANDARD
91121,PASADENA,CA,Available,UNIQUE
91123,PASADENA,CA,Available,UNIQUE
91124,PASADENA,CA,Available,UNIQUE
91125,PASADENA,CA,Available,UNIQUE
91126,PASADENA,CA,Available,UNIQUE
91129,PASADENA,CA,Available,UNIQUE
91131,PASADENA,CA,Available,UNIQUE
91175,PASADENA,CA,Available,UNIQUE
91182,PASADENA,CA,Available,UNIQUE
91184,PASADENA,CA,Available,UNIQUE
91185,PASADENA,CA,Available,UNIQUE
91186,PASADENA,CA,Available,UNIQUE
91187,PASADENA,CA,Available,UNIQUE
91188,PASADENA,CA,Available,UNIQUE
91189,PASADENA,CA,Available,UNIQUE
91191,PASADENA,CA,Available,UNIQUE
91201,GLENDALE,CA,Available,STANDARD
91202,GLENDALE,CA,Available,STANDARD
91203,GLENDALE,CA,Available,STANDARD
91204,GLENDALE,CA,Available,STANDARD
91205,GLENDALE,CA,Available,STANDARD
91206,GLENDALE,CA,Available,STANDARD
91207,GLENDALE,CA,Available,STANDARD
91208,GLENDALE,CA,Available,STANDARD
91209,GLENDALE,CA,Available,STANDARD
91210,GLENDALE,CA,Available,STANDARD
91214,LA CRESCENTA,CA,Available,STANDARD
91221,GLENDALE,CA,Available,STANDARD
91222,GLENDALE,CA,Available,STANDARD
91224,LA CRESCENTA,CA,Available,STANDARD
91225,GLENDALE,CA,Available,STANDARD
91226,GLENDALE,CA,Available,STANDARD
91301,AGOURA HILLS,CA,Available,STANDARD
91302,CALABASAS,CA,Available,STANDARD
91303,CANOGA PARK,CA,Available,STANDARD
91304,CANOGA PARK,CA,Available,STANDARD
91305,CANOGA PARK,CA,Available,STANDARD
91306,WINNETKA,CA,Available,STANDARD
91307,WEST HILLS,CA,Available,STANDARD
91308,WEST HILLS,CA,Available,STANDARD
91309,CANOGA PARK,CA,Available,STANDARD
91310,CASTAIC,CA,Available,STANDARD
91311,CHATSWORTH,CA,Available,STANDARD
91312,CHATSWORTH,CA,Available,UNIQUE
91313,CHATSWORTH,CA,Available,STANDARD
91316,ENCINO,CA,Available,STANDARD
91321,NEWHALL,CA,Available,STANDARD
91322,NEWHALL,CA,Available,STANDARD
91324,NORTHRIDGE,CA,Available,STANDARD
91325,NORTHRIDGE,CA,Available,STANDARD
91326,NORTHRIDGE,CA,Available,STANDARD
91327,NORTHRIDGE,CA,Available,STANDARD
